sensor_id,latitude,longitude,direction
402058,37.337137,-121.897741,SB
402059,37.337479,-121.897848,NB
402060,37.356655,-122.062397,NB
402061,37.356616,-122.06262,SB
402067,37.321367,-121.899571,SB
402117,37.344302,-121.902123,SB
402118,37.344411,-121.902181,NB
402119,37.421182,-121.915036,SB
402120,37.399227,-121.908515,SB
402121,37.380274,-121.904061,SB
402281,37.38449,-121.904845,NB
402282,37.384485,-121.905044,SB
402283,37.391595,-121.906506,NB
402284,37.391557,-121.90671,SB
402285,37.398698,-121.908172,NB
402286,37.405824,-121.909842,NB
402287,37.405777,-121.910072,SB
402288,37.419153,-121.914103,
402289,37.419106,-121.914308,
402359,37.329728,-121.842102,NB
402360,37.329591,-121.842361,SB
402361,37.336549,-121.848881,NB
402362,37.358996,-121.871981,NB
402363,37.3588,-121.872094,SB
402364,37.368104,-121.90788,NB
402365,37.367859,-121.907971,SB
402366,37.388542,-121.986478,NB
402367,37.388372,-121.986538,SB
402368,37.393954,-122.005269,
402369,37.393755,-122.005329,
402370,37.39592,-122.013438,NB
402371,37.396611,-122.017518,SB
402372,37.40547,-122.055924,NB
402373,37.405335,-122.056343,SB
403225,37.349517,-121.91728,SB
403265,37.349229,-121.917686,SB
403329,37.270267,-121.947353,NB
403401,37.328484,-121.870843,SB
403402,37.32872,-121.870796,NB
403404,37.327807,-121.874899,SB
403406,37.32592,-121.883314,SB
403409,37.324015,-121.890673,SB
403412,37.32243,-121.89764,SB
403414,37.314844,-121.913648,SB
403419,37.316766,-121.921548,SB
404370,37.296028,-121.939132,NB
404434,37.265521,-121.98154,NB
404435,37.326592,-122.050852,NB
404444,37.265311,-121.981694,SB
404451,37.27263,-121.862544,NB
404452,37.284773,-121.867709,NB
404453,37.309111,-121.882596,NB
404461,37.309012,-121.882518,SB
404462,37.272658,-121.862556,SB
404521,37.382586,-121.965617,NB
404522,37.402071,-122.041627,NB
404553,37.395734,-122.013489,SB
404554,37.401893,-122.041683,SB
404585,37.406298,-122.011605,EB
404586,37.406475,-122.011621,WB
404640,37.333614,-122.049627,SB
404753,37.364689,-121.902989,NB
404759,37.365167,-121.901551,SB
405613,37.262704,-121.858533,NB
405619,37.284665,-121.867631,SB
405701,37.316969,-121.924481,NB
407150,37.427274,-121.884436,NB
407151,37.420741,-121.882093,NB
407152,37.416073,-121.880751,NB
407153,37.398059,-121.875211,NB
407155,37.391513,-121.870376,NB
407157,37.385475,-121.863839,NB
407161,37.40777,-121.878234,NB
407165,37.344023,-121.845368,NB
407172,37.341738,-121.848369,NB
407173,37.342007,-121.847982,NB
407174,37.40088,-121.876103,NB
407176,37.358523,-121.840267,NB
407177,37.360223,-121.841285,NB
407179,37.368611,-121.846609,NB
407180,37.372785,-121.850839,NB
407181,37.379684,-121.857783,NB
407184,37.427403,-121.884848,SB
407185,37.420881,-121.882423,SB
407186,37.391614,-121.870798,SB
407187,37.383139,-121.861675,SB
407190,37.412704,-121.880023,SB
407191,37.407919,-121.878542,SB
407194,37.344191,-121.845564,SB
407200,37.398207,-121.875543,SB
407202,37.360613,-121.841794,SB
407204,37.366097,-121.845103,SB
407206,37.372897,-121.851246,SB
407207,37.379794,-121.858188,SB
407321,37.333648,-122.056851,NB
407323,37.396419,-122.068661,NB
407325,37.383707,-122.068108,NB
407328,37.377217,-122.067542,NB
407331,37.335431,-122.058337,NB
407332,37.407311,-122.069566,NB
407335,37.373213,-122.067368,NB
407336,37.363146,-122.062707,NB
407337,37.353092,-122.0609,NB
407339,37.351571,-122.060285,NB
407341,37.344713,-122.059766,NB
407342,37.379094,-122.067604,NB
407344,37.331501,-122.054687,NB
407348,37.384273,-122.068412,SB
407352,37.377057,-122.067805,SB
407359,37.407147,-122.070055,SB
407360,37.373187,-122.067646,SB
407361,37.363107,-122.063006,SB
407364,37.351529,-122.060518,SB
407367,37.379368,-122.067871,SB
407370,37.333574,-122.057007,SB
407372,37.344708,-122.059991,SB
407373,37.337629,-122.059717,SB
407374,37.395123,-122.068612,SB
407710,37.317459,-121.938793,NB
407711,37.317112,-121.941507,SB
408907,37.321822,-121.940425,NB
408911,37.325153,-121.940859,SB
409524,37.348448,-121.907247,NB
409525,37.362566,-121.917493,NB
409526,37.366737,-121.921627,NB
409528,37.362467,-121.917418,SB
409529,37.366662,-121.921519,SB
413026,37.421232,-121.914808,NB
413845,37.422887,-121.925747,WB
413877,37.321613,-121.899642,NB
413878,37.324641,-121.888603,NB
414284,37.323066,-121.896538,NB
414694,37.315051,-121.913497,NB
